edge_id,pair_id,family,from,to,level,exam_rows,endpoint_groups,regimes_with_support,realized_A_ONLY_rate,mean_predicted_rho,rho_ECE_equal_mass,rho_Brier,Pstress_A_ge_B_fraction,q50_max_margin_A_ge_B_fraction,development_only
LONG_075_TO_025,L075_MINUS_L025,risk_multiplier_long,L075,L025,1,720,360,4,0.6277777777777778,0.5405072387368313,0.09262609757688078,0.18454086669158995,1.0,1.0,True
SHORT_075_TO_025,S075_MINUS_S025,risk_multiplier_short,S075,S025,1,720,360,4,0.6361111111111111,0.5498877150572551,0.09753652720092533,0.1759166783992025,0.9972222222222222,1.0,True
SHORT_025_TO_FLAT,S025_MINUS_FLAT,flat_vs_short,S025,FLAT,2,1080,360,4,0.04722222222222222,0.04743264944264195,0.019453328449060482,0.027945584395131923,1.0,1.0,True
SHORT_075_TO_FLAT,S075_MINUS_FLAT,flat_vs_short,S075,FLAT,2,720,360,4,0.6833333333333333,0.6189501421135389,0.0699718295372049,0.1468529418331569,1.0,1.0,True
